complaint_id,complaint_date,customer_id,product_id,product_name,product_line,category,channel,status,resolution_days,satisfaction_score
COMP-00082,2024-02-27,CUST-00004,PROD-0014,UrbanFlex Denim Jacket,Apparel & Footwear,Other,Email,Resolved - Replacement,10,5
COMP-00083,2024-03-30,CUST-00095,PROD-0015,CozyKnit Wool Sweater,Apparel & Footwear,Difficulty with returns/refund processing,Email,Open,,
COMP-00084,2024-09-27,CUST-00125,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,Product defect / malfunction,Email,Resolved - Replacement,2,3
COMP-00085,2024-07-30,CUST-00215,PROD-0009,BrewMaster Drip Coffee Maker,Home & Kitchen,Misleading product description,Email,Resolved - Replacement,8,3
COMP-00086,2024-06-25,CUST-00148,PROD-0014,UrbanFlex Denim Jacket,Apparel & Footwear,Product defect / malfunction,Phone,Resolved - Store Credit,2,3
COMP-00087,2024-08-31,CUST-00119,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,Difficulty with returns/refund processing,Email,Resolved - Refund,9,4
COMP-00088,2024-07-18,CUST-00175,PROD-0014,UrbanFlex Denim Jacket,Apparel & Footwear,Misleading product description,Online Chat,Resolved - Replacement,9,1
COMP-00089,2024-08-17,CUST-00074,PROD-0017,FlexFit Performance Leggings,Apparel & Footwear,Misleading product description,Phone,Resolved - Store Credit,9,2
COMP-00090,2024-06-30,CUST-00137,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,Color/material mismatch,In-Store,Resolved - Refund,11,4
COMP-00091,2024-02-20,CUST-00070,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,Difficulty with returns/refund processing,Online Chat,Resolved - Store Credit,7,3
COMP-00092,2024-04-09,CUST-00188,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,Other,Email,Resolved - Replacement,12,4
COMP-00093,2024-01-05,CUST-00141,PROD-0001,AuraSound WB-200 Wireless Earbuds,Electronics & Accessories,Product defect / malfunction,Social Media,Resolved - Replacement,2,2
COMP-00094,2024-06-28,CUST-00176,PROD-0009,BrewMaster Drip Coffee Maker,Home & Kitchen,Shipping damage,In-Store,Open,,
COMP-00095,2024-01-13,CUST-00050,PROD-0001,AuraSound WB-200 Wireless Earbuds,Electronics & Accessories,Other,Email,Resolved - Replacement,10,2
COMP-00096,2024-02-14,CUST-00182,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,Other,Social Media,Resolved - Replacement,11,3
COMP-00097,2024-04-04,CUST-00029,PROD-0014,UrbanFlex Denim Jacket,Apparel & Footwear,Difficulty with returns/refund processing,Phone,Resolved - Replacement,11,5
COMP-00098,2024-08-06,CUST-00071,PROD-0015,CozyKnit Wool Sweater,Apparel & Footwear,Sizing inconsistency,In-Store,Escalated,6,3
COMP-00099,2024-05-21,CUST-00200,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,Product defect / malfunction,Phone,Resolved - Refund,6,4
COMP-00100,2024-04-01,CUST-00209,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,Misleading product description,Social Media,Resolved - Replacement,4,4
COMP-00101,2024-09-08,CUST-00046,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,Product defect / malfunction,Email,Resolved - Replacement,7,2
COMP-00102,2024-05-12,CUST-00114,PROD-0014,UrbanFlex Denim Jacket,Apparel & Footwear,Product defect / malfunction,Social Media,Resolved - Replacement,2,4
COMP-00103,2024-01-10,CUST-00199,PROD-0009,BrewMaster Drip Coffee Maker,Home & Kitchen,Misleading product description,Phone,Resolved - Replacement,11,1
COMP-00104,2024-05-16,CUST-00171,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,Shipping damage,Online Chat,Open,,
COMP-00105,2024-09-20,CUST-00148,PROD-0001,AuraSound WB-200 Wireless Earbuds,Electronics & Accessories,Battery life shorter than advertised,Online Chat,Escalated,8,4
COMP-00106,2024-02-05,CUST-00104,PROD-0016,TrailBlazer Rain Shell,Apparel & Footwear,Other,Online Chat,Resolved - Replacement,7,2
COMP-00107,2024-07-02,CUST-00146,PROD-0010,LinenLoft Bedding Bundle,Home & Kitchen,Difficulty with returns/refund processing,Phone,Resolved - Store Credit,7,2
COMP-00108,2024-06-23,CUST-00094,PROD-0010,LinenLoft Bedding Bundle,Home & Kitchen,Product defect / malfunction,In-Store,Open,,
COMP-00109,2024-03-31,CUST-00166,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,Other,Email,Resolved - Replacement,7,4
COMP-00110,2024-02-24,CUST-00179,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,Missing parts or accessories,Phone,Resolved - Store Credit,8,5
COMP-00111,2024-03-12,CUST-00189,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,Product defect / malfunction,Social Media,Resolved - Replacement,12,3
COMP-00112,2024-02-02,CUST-00126,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,Other,Social Media,Resolved - Store Credit,8,5
COMP-00113,2024-06-22,CUST-00005,PROD-0001,AuraSound WB-200 Wireless Earbuds,Electronics & Accessories,Product defect / malfunction,Phone,Resolved - Replacement,12,4
COMP-00114,2024-09-24,CUST-00031,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,Misleading product description,Email,Escalated,9,3
COMP-00115,2024-03-13,CUST-00019,PROD-0001,AuraSound WB-200 Wireless Earbuds,Electronics & Accessories,Misleading product description,Social Media,Resolved - Store Credit,8,1
COMP-00116,2024-03-07,CUST-00063,PROD-0014,UrbanFlex Denim Jacket,Apparel & Footwear,Product defect / malfunction,In-Store,Resolved - Replacement,1,2
COMP-00117,2024-03-28,CUST-00117,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,Other,Phone,Resolved - Replacement,2,5
COMP-00118,2024-04-22,CUST-00153,PROD-0015,CozyKnit Wool Sweater,Apparel & Footwear,Product defect / malfunction,Online Chat,Open,,
COMP-00119,2024-07-24,CUST-00087,PROD-0015,CozyKnit Wool Sweater,Apparel & Footwear,Difficulty with returns/refund processing,Social Media,Resolved - Replacement,11,5
COMP-00120,2024-04-19,CUST-00036,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,Product defect / malfunction,Phone,Resolved - Refund,6,2
COMP-00121,2024-07-31,CUST-00071,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,Shipping damage,Email,Resolved - Store Credit,9,5
COMP-00122,2024-01-21,CUST-00063,PROD-0017,FlexFit Performance Leggings,Apparel & Footwear,Shipping damage,Social Media,Resolved - Replacement,11,4
COMP-00123,2024-01-09,CUST-00200,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,Misleading product description,Email,Resolved - Replacement,1,2
COMP-00124,2024-05-25,CUST-00181,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,Misleading product description,Email,Resolved - Store Credit,8,3
COMP-00125,2024-05-18,CUST-00037,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,Other,Email,Resolved - Refund,4,1
COMP-00126,2024-09-12,CUST-00153,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,Other,In-Store,Escalated,11,4
COMP-00127,2024-04-30,CUST-00108,PROD-0001,AuraSound WB-200 Wireless Earbuds,Electronics & Accessories,Shipping damage,Phone,Resolved - Replacement,9,4
COMP-00128,2024-09-16,CUST-00195,PROD-0010,LinenLoft Bedding Bundle,Home & Kitchen,Shipping damage,Email,Resolved - Refund,11,4
COMP-00129,2024-02-27,CUST-00014,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,Shipping damage,Online Chat,Resolved - Store Credit,8,3
COMP-00130,2024-01-23,CUST-00041,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,Product defect / malfunction,Email,Resolved - Store Credit,5,4
COMP-00131,2024-08-20,CUST-00065,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,Product defect / malfunction,Social Media,Resolved - Replacement,1,3
COMP-00132,2024-01-15,CUST-00041,PROD-0015,CozyKnit Wool Sweater,Apparel & Footwear,Misleading product description,Email,Resolved - Refund,2,5
COMP-00133,2024-06-15,CUST-00152,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,Misleading product description,In-Store,Resolved - Replacement,11,3
COMP-00134,2024-06-15,CUST-00200,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,Shipping damage,Online Chat,Resolved - Replacement,12,3
COMP-00135,2024-04-22,CUST-00097,PROD-0017,FlexFit Performance Leggings,Apparel & Footwear,Product defect / malfunction,Phone,Resolved - Refund,8,4
COMP-00136,2024-08-20,CUST-00038,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,Shipping damage,Online Chat,Resolved - Refund,3,3
COMP-00137,2024-05-18,CUST-00162,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,Shipping damage,Social Media,Resolved - Replacement,1,1
COMP-00138,2024-02-26,CUST-00072,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,Misleading product description,In-Store,Resolved - Refund,3,3
COMP-00139,2024-03-21,CUST-00076,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,Missing parts or accessories,Social Media,Escalated,3,5
COMP-00140,2024-02-14,CUST-00219,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,Misleading product description,Email,Escalated,8,5
COMP-00141,2024-05-22,CUST-00215,PROD-0009,BrewMaster Drip Coffee Maker,Home & Kitchen,Product defect / malfunction,Email,Open,,
COMP-00142,2024-08-10,CUST-00064,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,Other,Email,Resolved - Replacement,10,1
COMP-00143,2024-01-21,CUST-00107,PROD-0001,AuraSound WB-200 Wireless Earbuds,Electronics & Accessories,Misleading product description,Social Media,Open,,
COMP-00144,2024-09-28,CUST-00009,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,Misleading product description,Phone,Resolved - Refund,12,5
COMP-00145,2024-02-12,CUST-00127,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,Other,Online Chat,Open,,
COMP-00146,2024-07-02,CUST-00056,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,Difficulty with returns/refund processing,Phone,Resolved - Replacement,2,5
COMP-00147,2024-03-23,CUST-00172,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,Battery life shorter than advertised,Social Media,Resolved - Refund,10,1
COMP-00148,2024-03-11,CUST-00117,PROD-0009,BrewMaster Drip Coffee Maker,Home & Kitchen,Missing parts or accessories,Online Chat,Resolved - Refund,6,1
COMP-00149,2024-07-16,CUST-00161,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,Battery life shorter than advertised,In-Store,Resolved - Replacement,1,4
COMP-00150,2024-04-16,CUST-00193,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,Battery life shorter than advertised,Phone,Resolved - Replacement,6,5
COMP-00151,2024-01-27,CUST-00173,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,Product defect / malfunction,Social Media,Resolved - Refund,8,1
COMP-00152,2024-03-30,CUST-00094,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,Missing parts or accessories,Social Media,Resolved - Refund,2,3
COMP-00153,2024-05-02,CUST-00036,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,Other,Social Media,Resolved - Replacement,8,3
COMP-00154,2024-04-25,CUST-00193,PROD-0014,UrbanFlex Denim Jacket,Apparel & Footwear,Difficulty with returns/refund processing,Social Media,Resolved - Refund,5,4
COMP-00155,2024-02-02,CUST-00071,PROD-0001,AuraSound WB-200 Wireless Earbuds,Electronics & Accessories,Difficulty with returns/refund processing,Social Media,Resolved - Replacement,8,5
COMP-00156,2024-08-28,CUST-00213,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,Battery life shorter than advertised,In-Store,Resolved - Refund,9,5
COMP-00157,2024-02-03,CUST-00159,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,Shipping damage,Phone,Escalated,8,2
COMP-00158,2024-04-01,CUST-00101,PROD-0017,FlexFit Performance Leggings,Apparel & Footwear,Difficulty with returns/refund processing,Phone,Escalated,2,3
COMP-00159,2024-03-16,CUST-00071,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,Misleading product description,Social Media,Resolved - Replacement,4,1
COMP-00160,2024-03-08,CUST-00076,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,Misleading product description,Phone,Resolved - Replacement,8,4
COMP-00161,2024-01-12,CUST-00049,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,Shipping damage,Social Media,Open,,
COMP-00162,2024-07-29,CUST-00166,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,Other,In-Store,Resolved - Replacement,11,5
COMP-00163,2024-09-28,CUST-00152,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,Color/material mismatch,In-Store,Resolved - Refund,8,3
COMP-00164,2024-03-28,CUST-00203,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,Difficulty with returns/refund processing,In-Store,Resolved - Replacement,6,1
COMP-00165,2024-05-25,CUST-00038,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,Misleading product description,Email,Escalated,10,5
COMP-00166,2024-03-30,CUST-00074,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,Battery life shorter than advertised,Email,Resolved - Store Credit,11,3
COMP-00167,2024-01-22,CUST-00061,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,Difficulty with returns/refund processing,In-Store,Resolved - Refund,8,4
COMP-00168,2024-01-18,CUST-00048,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,Battery life shorter than advertised,Email,Resolved - Replacement,6,4
COMP-00169,2024-03-24,CUST-00115,PROD-0010,LinenLoft Bedding Bundle,Home & Kitchen,Other,Online Chat,Resolved - Replacement,1,5
COMP-00170,2024-08-22,CUST-00197,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,Difficulty with returns/refund processing,Social Media,Resolved - Replacement,12,5
COMP-00171,2024-05-31,CUST-00085,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,Misleading product description,Email,Escalated,10,5
COMP-00172,2024-02-27,CUST-00087,PROD-0014,UrbanFlex Denim Jacket,Apparel & Footwear,Sizing inconsistency,Email,Resolved - Refund,1,5
COMP-00173,2024-01-13,CUST-00030,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,Misleading product description,Online Chat,Resolved - Store Credit,4,4
COMP-00174,2024-01-29,CUST-00024,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,Other,Social Media,Resolved - Store Credit,10,3
COMP-00175,2024-05-22,CUST-00201,PROD-0017,FlexFit Performance Leggings,Apparel & Footwear,Shipping damage,Online Chat,Resolved - Replacement,9,2
