sale_id,sale_date,customer_id,product_id,product_name,product_line,quantity,unit_price,discount_pct,line_total,channel,region
SALE-000051,2024-02-16,CUST-00186,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,1,149.99,10,134.99,Online,West
SALE-000052,2024-04-25,CUST-00123,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,1,229.99,0,229.99,Online,Northeast
SALE-000053,2024-08-04,CUST-00003,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,3,24.99,10,67.47,In-Store,South
SALE-000054,2024-02-22,CUST-00059,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,1,94.99,0,94.99,Online,Northeast
SALE-000055,2024-03-09,CUST-00077,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,1,59.99,10,53.99,In-Store,South
SALE-000056,2024-03-25,CUST-00018,PROD-0017,FlexFit Performance Leggings,Apparel & Footwear,2,39.99,0,79.98,In-Store,West
SALE-000057,2024-08-14,CUST-00161,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,4,59.99,15,203.97,Online,Northeast
SALE-000058,2024-07-15,CUST-00026,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,2,59.99,0,119.98,Online,Northeast
SALE-000059,2024-02-13,CUST-00203,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,1,59.99,0,59.99,In-Store,South
SALE-000060,2024-01-14,CUST-00185,PROD-0010,LinenLoft Bedding Bundle,Home & Kitchen,2,59.99,15,101.98,In-Store,South
SALE-000061,2024-09-17,CUST-00078,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,1,64.99,0,64.99,Online,South
SALE-000062,2024-05-02,CUST-00166,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,2,39.99,0,79.98,Online,West
SALE-000063,2024-01-07,CUST-00128,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,1,229.99,25,172.49,Marketplace,Northeast
SALE-000064,2024-08-03,CUST-00034,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,3,94.99,0,284.97,In-Store,Northeast
SALE-000065,2024-02-07,CUST-00196,PROD-0016,TrailBlazer Rain Shell,Apparel & Footwear,4,84.99,0,339.96,Online,Northeast
SALE-000066,2024-01-31,CUST-00068,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,1,64.99,20,51.99,Online,Midwest
SALE-000067,2024-08-04,CUST-00074,PROD-0017,FlexFit Performance Leggings,Apparel & Footwear,2,39.99,10,71.98,Online,Midwest
SALE-000068,2024-05-22,CUST-00138,PROD-0018,SummitPeak Hiking Boots,Apparel & Footwear,2,109.99,0,219.98,Online,Northeast
SALE-000069,2024-07-19,CUST-00053,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,1,59.99,0,59.99,In-Store,Midwest
SALE-000070,2024-08-11,CUST-00167,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,1,229.99,10,206.99,In-Store,Northeast
SALE-000071,2024-08-10,CUST-00015,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,1,149.99,0,149.99,In-Store,South
SALE-000072,2024-03-30,CUST-00015,PROD-0010,LinenLoft Bedding Bundle,Home & Kitchen,2,59.99,0,119.98,In-Store,South
SALE-000073,2024-06-26,CUST-00180,PROD-0001,AuraSound WB-200 Wireless Earbuds,Electronics & Accessories,1,79.99,0,79.99,In-Store,West
SALE-000074,2024-03-05,CUST-00185,PROD-0009,BrewMaster Drip Coffee Maker,Home & Kitchen,1,44.99,10,40.49,Marketplace,South
SALE-000075,2024-01-16,CUST-00188,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,2,34.99,0,69.98,Online,West
SALE-000076,2024-02-09,CUST-00135,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,1,229.99,0,229.99,In-Store,West
SALE-000077,2024-03-26,CUST-00015,PROD-0016,TrailBlazer Rain Shell,Apparel & Footwear,3,84.99,0,254.97,Online,South
SALE-000078,2024-09-17,CUST-00027,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,1,34.99,0,34.99,Marketplace,Northeast
SALE-000079,2024-07-05,CUST-00004,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,1,149.99,0,149.99,Online,Midwest
SALE-000080,2024-08-02,CUST-00220,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,2,39.99,0,79.98,Online,Northeast
SALE-000081,2024-02-09,CUST-00185,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,1,24.99,0,24.99,Online,South
SALE-000082,2024-09-21,CUST-00173,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,1,39.99,25,29.99,Marketplace,West
SALE-000083,2024-06-08,CUST-00018,PROD-0015,CozyKnit Wool Sweater,Apparel & Footwear,3,54.99,0,164.97,In-Store,West
SALE-000084,2024-06-04,CUST-00003,PROD-0012,CrispAir Countertop Fryer,Home & Kitchen,1,89.99,10,80.99,Online,South
SALE-000085,2024-04-10,CUST-00095,PROD-0016,TrailBlazer Rain Shell,Apparel & Footwear,5,84.99,10,382.45,In-Store,South
SALE-000086,2024-07-28,CUST-00204,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,1,149.99,0,149.99,In-Store,West
SALE-000087,2024-01-01,CUST-00163,PROD-0001,AuraSound WB-200 Wireless Earbuds,Electronics & Accessories,4,79.99,15,271.97,Online,West
SALE-000088,2024-09-28,CUST-00189,PROD-0010,LinenLoft Bedding Bundle,Home & Kitchen,1,59.99,25,44.99,Online,South
SALE-000089,2024-02-17,CUST-00016,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,2,59.99,0,119.98,Online,Midwest
SALE-000090,2024-07-09,CUST-00217,PROD-0017,FlexFit Performance Leggings,Apparel & Footwear,1,39.99,0,39.99,In-Store,South
SALE-000091,2024-07-20,CUST-00149,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,1,34.99,0,34.99,In-Store,Midwest
SALE-000092,2024-05-13,CUST-00112,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,1,59.99,15,50.99,Marketplace,Midwest
SALE-000093,2024-05-19,CUST-00101,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,1,24.99,0,24.99,Marketplace,Northeast
SALE-000094,2024-03-25,CUST-00035,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,1,34.99,0,34.99,Online,Northeast
SALE-000095,2024-04-16,CUST-00031,PROD-0018,SummitPeak Hiking Boots,Apparel & Footwear,1,109.99,0,109.99,In-Store,South
SALE-000096,2024-06-04,CUST-00219,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,1,34.99,15,29.74,In-Store,West
SALE-000097,2024-06-16,CUST-00011,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,3,64.99,0,194.97,In-Store,Midwest
SALE-000098,2024-06-02,CUST-00092,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,1,94.99,0,94.99,Marketplace,South
SALE-000099,2024-05-07,CUST-00008,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,3,94.99,0,284.97,Online,West
SALE-000100,2024-02-01,CUST-00204,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,1,59.99,15,50.99,Marketplace,West
SALE-000101,2024-07-09,CUST-00034,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,3,64.99,10,175.47,Marketplace,Northeast
SALE-000102,2024-02-08,CUST-00022,PROD-0009,BrewMaster Drip Coffee Maker,Home & Kitchen,4,44.99,0,179.96,Online,West
SALE-000103,2024-02-17,CUST-00166,PROD-0015,CozyKnit Wool Sweater,Apparel & Footwear,3,54.99,20,131.98,In-Store,West
SALE-000104,2024-08-24,CUST-00085,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,1,34.99,0,34.99,Marketplace,West
SALE-000105,2024-07-14,CUST-00111,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,1,94.99,10,85.49,Online,Northeast
SALE-000106,2024-08-16,CUST-00055,PROD-0006,SoundWave Bluetooth Speaker,Electronics & Accessories,1,49.99,20,39.99,Online,Northeast
SALE-000107,2024-09-12,CUST-00159,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,2,149.99,0,299.98,In-Store,Northeast
SALE-000108,2024-03-11,CUST-00016,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,1,229.99,0,229.99,In-Store,Midwest
SALE-000109,2024-01-10,CUST-00205,PROD-0017,FlexFit Performance Leggings,Apparel & Footwear,1,39.99,25,29.99,In-Store,Northeast
SALE-000110,2024-09-05,CUST-00092,PROD-0016,TrailBlazer Rain Shell,Apparel & Footwear,1,84.99,0,84.99,In-Store,South
SALE-000111,2024-01-14,CUST-00083,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,1,94.99,0,94.99,Online,Midwest
SALE-000112,2024-08-29,CUST-00208,PROD-0009,BrewMaster Drip Coffee Maker,Home & Kitchen,1,44.99,0,44.99,In-Store,South
SALE-000113,2024-05-03,CUST-00060,PROD-0006,SoundWave Bluetooth Speaker,Electronics & Accessories,1,49.99,0,49.99,In-Store,South
SALE-000114,2024-04-22,CUST-00189,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,2,39.99,0,79.98,Marketplace,South
SALE-000115,2024-03-29,CUST-00100,PROD-0012,CrispAir Countertop Fryer,Home & Kitchen,4,89.99,0,359.96,In-Store,Midwest
SALE-000116,2024-01-15,CUST-00207,PROD-0012,CrispAir Countertop Fryer,Home & Kitchen,4,89.99,10,323.96,Online,West
SALE-000117,2024-04-06,CUST-00146,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,2,59.99,15,101.98,In-Store,Midwest
SALE-000118,2024-09-08,CUST-00127,PROD-0018,SummitPeak Hiking Boots,Apparel & Footwear,1,109.99,0,109.99,Online,Midwest
SALE-000119,2024-09-01,CUST-00155,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,1,149.99,0,149.99,Marketplace,South
SALE-000120,2024-03-31,CUST-00052,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,1,59.99,20,47.99,In-Store,Northeast
SALE-000121,2024-03-13,CUST-00083,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,1,39.99,15,33.99,In-Store,Midwest
SALE-000122,2024-07-21,CUST-00094,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,1,229.99,0,229.99,Online,Northeast
SALE-000123,2024-08-11,CUST-00083,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,5,59.99,15,254.96,Marketplace,Midwest
SALE-000124,2024-07-01,CUST-00167,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,1,24.99,0,24.99,In-Store,Northeast
SALE-000125,2024-05-30,CUST-00045,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,1,94.99,0,94.99,In-Store,Northeast
SALE-000126,2024-01-17,CUST-00180,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,3,94.99,0,284.97,Online,West
SALE-000127,2024-02-23,CUST-00208,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,2,149.99,20,239.98,Online,South
SALE-000128,2024-06-12,CUST-00191,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,1,229.99,0,229.99,Marketplace,Northeast
SALE-000129,2024-05-15,CUST-00023,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,1,24.99,0,24.99,In-Store,Midwest
SALE-000130,2024-01-01,CUST-00090,PROD-0009,BrewMaster Drip Coffee Maker,Home & Kitchen,2,44.99,0,89.98,Online,Northeast
SALE-000131,2024-09-09,CUST-00108,PROD-0006,SoundWave Bluetooth Speaker,Electronics & Accessories,3,49.99,20,119.98,Online,Midwest
SALE-000132,2024-04-25,CUST-00097,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,3,34.99,0,104.97,Online,Northeast
SALE-000133,2024-06-12,CUST-00217,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,1,39.99,0,39.99,Online,South
SALE-000134,2024-03-23,CUST-00088,PROD-0006,SoundWave Bluetooth Speaker,Electronics & Accessories,3,49.99,10,134.97,In-Store,Midwest
SALE-000135,2024-09-04,CUST-00024,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,2,24.99,10,44.98,Online,Northeast
SALE-000136,2024-08-10,CUST-00168,PROD-0006,SoundWave Bluetooth Speaker,Electronics & Accessories,2,49.99,0,99.98,Online,West
SALE-000137,2024-05-15,CUST-00053,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,1,64.99,10,58.49,Online,Midwest
SALE-000138,2024-09-08,CUST-00025,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,1,39.99,0,39.99,Online,Midwest
SALE-000139,2024-09-02,CUST-00110,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,1,229.99,0,229.99,Online,South
SALE-000140,2024-08-30,CUST-00044,PROD-0010,LinenLoft Bedding Bundle,Home & Kitchen,5,59.99,15,254.96,Online,South
SALE-000141,2024-05-15,CUST-00102,PROD-0016,TrailBlazer Rain Shell,Apparel & Footwear,1,84.99,0,84.99,In-Store,West
SALE-000142,2024-07-08,CUST-00048,PROD-0012,CrispAir Countertop Fryer,Home & Kitchen,3,89.99,0,269.97,Online,South
SALE-000143,2024-05-17,CUST-00113,PROD-0015,CozyKnit Wool Sweater,Apparel & Footwear,1,54.99,0,54.99,Online,South
SALE-000144,2024-06-25,CUST-00179,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,1,34.99,15,29.74,Online,Midwest
SALE-000145,2024-07-17,CUST-00194,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,2,149.99,15,254.98,Online,West
SALE-000146,2024-04-30,CUST-00138,PROD-0016,TrailBlazer Rain Shell,Apparel & Footwear,2,84.99,0,169.98,Online,Northeast
SALE-000147,2024-09-21,CUST-00219,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,1,39.99,15,33.99,In-Store,West
SALE-000148,2024-08-17,CUST-00159,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,1,59.99,0,59.99,Marketplace,Northeast
SALE-000149,2024-08-04,CUST-00055,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,1,64.99,0,64.99,In-Store,Northeast
SALE-000150,2024-05-12,CUST-00052,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,3,59.99,0,179.97,In-Store,Northeast
SALE-000151,2024-07-22,CUST-00207,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,1,229.99,0,229.99,Marketplace,West
SALE-000152,2024-01-07,CUST-00134,PROD-0015,CozyKnit Wool Sweater,Apparel & Footwear,4,54.99,15,186.97,In-Store,Midwest
SALE-000153,2024-03-17,CUST-00134,PROD-0014,UrbanFlex Denim Jacket,Apparel & Footwear,1,74.99,0,74.99,In-Store,Midwest
SALE-000154,2024-02-21,CUST-00195,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,4,34.99,15,118.97,Marketplace,South
SALE-000155,2024-09-05,CUST-00089,PROD-0014,UrbanFlex Denim Jacket,Apparel & Footwear,1,74.99,0,74.99,In-Store,Midwest
SALE-000156,2024-07-24,CUST-00045,PROD-0009,BrewMaster Drip Coffee Maker,Home & Kitchen,1,44.99,0,44.99,Marketplace,Northeast
SALE-000157,2024-08-31,CUST-00085,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,1,149.99,20,119.99,Marketplace,West
SALE-000158,2024-06-04,CUST-00006,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,3,24.99,0,74.97,In-Store,Midwest
SALE-000159,2024-04-26,CUST-00220,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,5,34.99,0,174.95,Marketplace,Northeast
SALE-000160,2024-08-01,CUST-00114,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,1,24.99,10,22.49,Online,Northeast
SALE-000161,2024-07-27,CUST-00114,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,4,64.99,10,233.96,In-Store,Northeast
SALE-000162,2024-03-22,CUST-00096,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,1,39.99,0,39.99,In-Store,Midwest
SALE-000163,2024-09-25,CUST-00104,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,2,59.99,20,95.98,Online,South
SALE-000164,2024-05-07,CUST-00050,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,3,64.99,0,194.97,Online,West
SALE-000165,2024-08-25,CUST-00093,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,1,64.99,0,64.99,In-Store,Midwest
SALE-000166,2024-09-07,CUST-00032,PROD-0001,AuraSound WB-200 Wireless Earbuds,Electronics & Accessories,1,79.99,0,79.99,Online,West
SALE-000167,2024-03-24,CUST-00122,PROD-0018,SummitPeak Hiking Boots,Apparel & Footwear,1,109.99,15,93.49,Online,Northeast
SALE-000168,2024-07-16,CUST-00213,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,1,229.99,0,229.99,Marketplace,Northeast
SALE-000169,2024-04-25,CUST-00200,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,3,64.99,10,175.47,Online,South
SALE-000170,2024-01-05,CUST-00105,PROD-0017,FlexFit Performance Leggings,Apparel & Footwear,1,39.99,0,39.99,Online,Midwest
SALE-000171,2024-06-05,CUST-00045,PROD-0001,AuraSound WB-200 Wireless Earbuds,Electronics & Accessories,1,79.99,10,71.99,In-Store,Northeast
SALE-000172,2024-06-27,CUST-00071,PROD-0014,UrbanFlex Denim Jacket,Apparel & Footwear,3,74.99,0,224.97,Online,Northeast
SALE-000173,2024-07-22,CUST-00078,PROD-0017,FlexFit Performance Leggings,Apparel & Footwear,3,39.99,0,119.97,Online,South
SALE-000174,2024-05-24,CUST-00170,PROD-0012,CrispAir Countertop Fryer,Home & Kitchen,2,89.99,0,179.98,Online,West
SALE-000175,2024-06-15,CUST-00017,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,5,24.99,15,106.21,Online,Midwest
SALE-000176,2024-09-21,CUST-00183,PROD-0010,LinenLoft Bedding Bundle,Home & Kitchen,1,59.99,15,50.99,Marketplace,West
SALE-000177,2024-03-12,CUST-00207,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,2,94.99,10,170.98,In-Store,West
SALE-000178,2024-07-26,CUST-00076,PROD-0009,BrewMaster Drip Coffee Maker,Home & Kitchen,4,44.99,0,179.96,Online,South
SALE-000179,2024-04-23,CUST-00182,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,1,64.99,10,58.49,In-Store,Midwest
SALE-000180,2024-03-28,CUST-00122,PROD-0012,CrispAir Countertop Fryer,Home & Kitchen,1,89.99,15,76.49,Marketplace,Northeast
SALE-000181,2024-03-06,CUST-00047,PROD-0010,LinenLoft Bedding Bundle,Home & Kitchen,1,59.99,10,53.99,In-Store,Northeast
SALE-000182,2024-06-20,CUST-00144,PROD-0006,SoundWave Bluetooth Speaker,Electronics & Accessories,4,49.99,10,179.96,Online,West
SALE-000183,2024-06-18,CUST-00058,PROD-0010,LinenLoft Bedding Bundle,Home & Kitchen,1,59.99,0,59.99,In-Store,Midwest
SALE-000184,2024-02-06,CUST-00119,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,1,34.99,0,34.99,Online,South
SALE-000185,2024-07-30,CUST-00031,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,1,94.99,0,94.99,Marketplace,South
SALE-000186,2024-08-22,CUST-00036,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,1,64.99,0,64.99,Marketplace,Northeast
SALE-000187,2024-03-31,CUST-00047,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,1,229.99,0,229.99,Online,Northeast
SALE-000188,2024-03-27,CUST-00116,PROD-0009,BrewMaster Drip Coffee Maker,Home & Kitchen,1,44.99,0,44.99,Online,West
